,epoch,loss_mean,loss_std,proposal_width,acceptance_rate,walltime
0,0,1.0517246723175049,0.3925882577896118,"tensor(0.5524, device='cuda:0')","tensor(0.4934, device='cuda:0')",0.016003609001927543
1,1,1.0199613571166992,0.36169707775115967,"tensor(0.5264, device='cuda:0')","tensor(0.5054, device='cuda:0')",0.01284793299419107
2,2,0.9882411956787109,0.35621461272239685,"tensor(0.5461, device='cuda:0')","tensor(0.5020, device='cuda:0')",0.015069618995767087
3,3,0.9557786583900452,0.34775376319885254,"tensor(0.5359, device='cuda:0')","tensor(0.4917, device='cuda:0')",0.014306880999356508
4,4,0.9284175038337708,0.3372662663459778,"tensor(0.5473, device='cuda:0')","tensor(0.5100, device='cuda:0')",0.01219836100062821
5,5,0.9125089645385742,0.3292367458343506,"tensor(0.5397, device='cuda:0')","tensor(0.5195, device='cuda:0')",0.011779822001699358
6,6,0.8986749649047852,0.33355820178985596,"tensor(0.5426, device='cuda:0')","tensor(0.5012, device='cuda:0')",0.01143042100011371
7,7,0.8716949224472046,0.3316560387611389,"tensor(0.5436, device='cuda:0')","tensor(0.4949, device='cuda:0')",0.011682397998811211
8,8,0.8560906648635864,0.3320373296737671,"tensor(0.5398, device='cuda:0')","tensor(0.5112, device='cuda:0')",0.011648031999357045
9,9,0.835564136505127,0.335426390171051,"tensor(0.5525, device='cuda:0')","tensor(0.5110, device='cuda:0')",0.011819079998531379
10,10,0.8349785804748535,0.3605266809463501,"tensor(0.5514, device='cuda:0')","tensor(0.5142, device='cuda:0')",0.011802941997302696
11,11,0.8312654495239258,0.40747615694999695,"tensor(0.5500, device='cuda:0')","tensor(0.5320, device='cuda:0')",0.011573862000659574
12,12,0.7998135685920715,0.4379684329032898,"tensor(0.4194, device='cuda:0')","tensor(0.5242, device='cuda:0')",0.012628104996110778
13,13,0.7857286334037781,0.44900527596473694,"tensor(0.4826, device='cuda:0')","tensor(0.5100, device='cuda:0')",0.011373989000276197
14,14,0.7240961790084839,0.40090975165367126,"tensor(0.6236, device='cuda:0')","tensor(0.5127, device='cuda:0')",0.012315246000071056
15,15,0.6579320430755615,0.3435824513435364,"tensor(0.6580, device='cuda:0')","tensor(0.5046, device='cuda:0')",0.011507893999805674
16,16,0.6207588315010071,0.29988759756088257,"tensor(0.6626, device='cuda:0')","tensor(0.5056, device='cuda:0')",0.011607868000282906
17,17,0.6062061786651611,0.2642441689968109,"tensor(0.6231, device='cuda:0')","tensor(0.4939, device='cuda:0')",0.011275649994786363
18,18,0.5878950357437134,0.2530204653739929,"tensor(0.6253, device='cuda:0')","tensor(0.5002, device='cuda:0')",0.011647020000964403
19,19,0.5798416137695312,0.2372610718011856,"tensor(0.6342, device='cuda:0')","tensor(0.5095, device='cuda:0')",0.011238692997721955
20,20,0.5589683651924133,0.22833684086799622,"tensor(0.6518, device='cuda:0')","tensor(0.5020, device='cuda:0')",0.01134301899583079
21,21,0.5514838099479675,0.21982324123382568,"tensor(0.6090, device='cuda:0')","tensor(0.4937, device='cuda:0')",0.011494648999359924
22,22,0.5284172892570496,0.21037185192108154,"tensor(0.6248, device='cuda:0')","tensor(0.4934, device='cuda:0')",0.011401035997550935
23,23,0.5190247297286987,0.20739001035690308,"tensor(0.6140, device='cuda:0')","tensor(0.4893, device='cuda:0')",0.01184108600136824
24,24,0.5040199756622314,0.20185036957263947,"tensor(0.6049, device='cuda:0')","tensor(0.4983, device='cuda:0')",0.014291229999798816
25,25,0.49802571535110474,0.19176997244358063,"tensor(0.5945, device='cuda:0')","tensor(0.4897, device='cuda:0')",0.011857083001814317
26,26,0.4866922199726105,0.18627366423606873,"tensor(0.6020, device='cuda:0')","tensor(0.4980, device='cuda:0')",0.011299605001113378
27,27,0.4721298813819885,0.18217574059963226,"tensor(0.6001, device='cuda:0')","tensor(0.4902, device='cuda:0')",0.011586713000724558
28,28,0.459014356136322,0.1766505241394043,"tensor(0.6039, device='cuda:0')","tensor(0.5078, device='cuda:0')",0.011447728000348434
29,29,0.44510072469711304,0.17194221913814545,"tensor(0.6143, device='cuda:0')","tensor(0.4868, device='cuda:0')",0.011601794001762755
30,30,0.4337630271911621,0.16815735399723053,"tensor(0.6128, device='cuda:0')","tensor(0.4939, device='cuda:0')",0.011952875996939838
31,31,0.42159634828567505,0.16421562433242798,"tensor(0.6185, device='cuda:0')","tensor(0.5042, device='cuda:0')",0.011598086995945778
32,32,0.41013088822364807,0.15745380520820618,"tensor(0.6028, device='cuda:0')","tensor(0.4763, device='cuda:0')",0.011987903002591338
33,33,0.4030812978744507,0.1561911702156067,"tensor(0.6060, device='cuda:0')","tensor(0.5007, device='cuda:0')",0.011694731998431962
34,34,0.39146146178245544,0.14968650043010712,"tensor(0.6061, device='cuda:0')","tensor(0.5056, device='cuda:0')",0.013008042995352298
35,35,0.38380199670791626,0.14670829474925995,"tensor(0.6171, device='cuda:0')","tensor(0.4998, device='cuda:0')",0.013674239002284594
36,36,0.36757901310920715,0.14020633697509766,"tensor(0.6191, device='cuda:0')","tensor(0.5012, device='cuda:0')",0.012178386001323815
37,37,0.36486905813217163,0.13690893352031708,"tensor(0.6028, device='cuda:0')","tensor(0.5071, device='cuda:0')",0.012354535996564664
38,38,0.3558114171028137,0.13254371285438538,"tensor(0.6183, device='cuda:0')","tensor(0.5210, device='cuda:0')",0.01294673299707938
39,39,0.34904149174690247,0.12914980947971344,"tensor(0.6036, device='cuda:0')","tensor(0.4944, device='cuda:0')",0.011587764995056204
40,40,0.33688217401504517,0.12545737624168396,"tensor(0.5835, device='cuda:0')","tensor(0.5007, device='cuda:0')",0.011159599998791236
41,41,0.32873934507369995,0.12175733596086502,"tensor(0.6064, device='cuda:0')","tensor(0.4973, device='cuda:0')",0.010841191004146822
42,42,0.3218047320842743,0.11680465191602707,"tensor(0.6016, device='cuda:0')","tensor(0.5171, device='cuda:0')",0.011391218999051489
43,43,0.31369921565055847,0.11286424845457077,"tensor(0.6025, device='cuda:0')","tensor(0.5042, device='cuda:0')",0.010957550999592058
44,44,0.30768731236457825,0.11203520745038986,"tensor(0.6374, device='cuda:0')","tensor(0.5212, device='cuda:0')",0.012529455998446792
45,45,0.2986449599266052,0.10818469524383545,"tensor(0.6278, device='cuda:0')","tensor(0.5137, device='cuda:0')",0.012020013004075736
46,46,0.2942166328430176,0.10382242500782013,"tensor(0.6174, device='cuda:0')","tensor(0.5137, device='cuda:0')",0.011117820999061223
47,47,0.28486335277557373,0.1018969863653183,"tensor(0.6006, device='cuda:0')","tensor(0.4980, device='cuda:0')",0.010772189998533577
48,48,0.277205228805542,0.09837894886732101,"tensor(0.6229, device='cuda:0')","tensor(0.5103, device='cuda:0')",0.011341997000272386
49,49,0.27420157194137573,0.09758586436510086,"tensor(0.6001, device='cuda:0')","tensor(0.5002, device='cuda:0')",0.011544831999344751
50,50,0.26713889837265015,0.0937243327498436,"tensor(0.6027, device='cuda:0')","tensor(0.4961, device='cuda:0')",0.010785721002321225
51,51,0.2600727081298828,0.0902000218629837,"tensor(0.6052, device='cuda:0')","tensor(0.4993, device='cuda:0')",0.011161813999933656
52,52,0.25504910945892334,0.08853022754192352,"tensor(0.5857, device='cuda:0')","tensor(0.4968, device='cuda:0')",0.011099371993623208
53,53,0.24920964241027832,0.08576013147830963,"tensor(0.6168, device='cuda:0')","tensor(0.4949, device='cuda:0')",0.011285549000604078
54,54,0.24479076266288757,0.0829300507903099,"tensor(0.6129, device='cuda:0')","tensor(0.5117, device='cuda:0')",0.011110865998489317
55,55,0.23779474198818207,0.0814218819141388,"tensor(0.6054, device='cuda:0')","tensor(0.4985, device='cuda:0')",0.011639039003057405
56,56,0.23156578838825226,0.07987724989652634,"tensor(0.6110, device='cuda:0')","tensor(0.4897, device='cuda:0')",0.011606107000261545
57,57,0.22616413235664368,0.07596264779567719,"tensor(0.6303, device='cuda:0')","tensor(0.5073, device='cuda:0')",0.011008672998286784
58,58,0.22099363803863525,0.075722835958004,"tensor(0.6163, device='cuda:0')","tensor(0.5007, device='cuda:0')",0.011281430000963155
59,59,0.21647724509239197,0.07217557728290558,"tensor(0.6121, device='cuda:0')","tensor(0.5071, device='cuda:0')",0.011189700999238994
60,60,0.2124340534210205,0.07058091461658478,"tensor(0.6284, device='cuda:0')","tensor(0.5173, device='cuda:0')",0.01056385400443105
61,61,0.20646868646144867,0.0680319294333458,"tensor(0.6242, device='cuda:0')","tensor(0.5063, device='cuda:0')",0.010480522003490478
62,62,0.20048865675926208,0.06643011420965195,"tensor(0.6345, device='cuda:0')","tensor(0.5137, device='cuda:0')",0.010935452999547124
63,63,0.1954766809940338,0.06568954885005951,"tensor(0.6081, device='cuda:0')","tensor(0.4983, device='cuda:0')",0.011186347001057584
64,64,0.19056233763694763,0.06343715637922287,"tensor(0.6167, device='cuda:0')","tensor(0.5107, device='cuda:0')",0.01060458100255346
65,65,0.18577329814434052,0.06228845566511154,"tensor(0.6164, device='cuda:0')","tensor(0.4915, device='cuda:0')",0.01135943800181849
66,66,0.1824665367603302,0.059917666018009186,"tensor(0.6154, device='cuda:0')","tensor(0.5095, device='cuda:0')",0.010948545001156162
67,67,0.17843085527420044,0.05771292746067047,"tensor(0.6249, device='cuda:0')","tensor(0.5034, device='cuda:0')",0.011064438993344083
68,68,0.17317691445350647,0.05771433189511299,"tensor(0.6225, device='cuda:0')","tensor(0.4973, device='cuda:0')",0.010463662998517975
69,69,0.16774827241897583,0.056675318628549576,"tensor(0.6163, device='cuda:0')","tensor(0.5171, device='cuda:0')",0.010721403996285517
70,70,0.16476291418075562,0.053601138293743134,"tensor(0.6165, device='cuda:0')","tensor(0.5112, device='cuda:0')",0.011130101003800519
71,71,0.16118957102298737,0.0536072701215744,"tensor(0.6041, device='cuda:0')","tensor(0.4971, device='cuda:0')",0.0106241429966758
72,72,0.15717288851737976,0.05067288503050804,"tensor(0.6098, device='cuda:0')","tensor(0.4924, device='cuda:0')",0.010652282006049063
73,73,0.15359267592430115,0.04982784762978554,"tensor(0.6198, device='cuda:0')","tensor(0.4995, device='cuda:0')",0.011051225003029685
74,74,0.14902499318122864,0.04834572970867157,"tensor(0.6370, device='cuda:0')","tensor(0.4958, device='cuda:0')",0.010500198004592676
75,75,0.14686113595962524,0.04695933684706688,"tensor(0.6251, device='cuda:0')","tensor(0.5020, device='cuda:0')",0.010538142996665556
76,76,0.14180678129196167,0.04547224938869476,"tensor(0.6255, device='cuda:0')","tensor(0.5073, device='cuda:0')",0.010787033999804407
77,77,0.1379036009311676,0.04564091935753822,"tensor(0.6001, device='cuda:0')","tensor(0.4839, device='cuda:0')",0.011355695001839194
78,78,0.13491854071617126,0.04424053058028221,"tensor(0.6184, device='cuda:0')","tensor(0.4973, device='cuda:0')",0.010842260999197606
79,79,0.13139641284942627,0.042881619185209274,"tensor(0.6164, device='cuda:0')","tensor(0.4985, device='cuda:0')",0.01065559600101551
80,80,0.12800422310829163,0.04233352839946747,"tensor(0.6191, device='cuda:0')","tensor(0.4966, device='cuda:0')",0.010926772003585938
81,81,0.1251494586467743,0.040800709277391434,"tensor(0.6468, device='cuda:0')","tensor(0.5269, device='cuda:0')",0.013026007000007667
82,82,0.12221349775791168,0.03957169130444527,"tensor(0.6456, device='cuda:0')","tensor(0.5176, device='cuda:0')",0.012534572997537907
83,83,0.11902742087841034,0.038706935942173004,"tensor(0.6382, device='cuda:0')","tensor(0.5149, device='cuda:0')",0.015232186000503134
84,84,0.11451998353004456,0.0380011722445488,"tensor(0.6126, device='cuda:0')","tensor(0.4951, device='cuda:0')",0.012185490995761938
85,85,0.11137218773365021,0.03756172955036163,"tensor(0.6352, device='cuda:0')","tensor(0.5205, device='cuda:0')",0.017646925000008196
86,86,0.10823294520378113,0.03610125184059143,"tensor(0.6250, device='cuda:0')","tensor(0.5056, device='cuda:0')",0.015676533002988435
87,87,0.10644868016242981,0.035126157104969025,"tensor(0.6398, device='cuda:0')","tensor(0.5093, device='cuda:0')",0.01280204400245566
88,88,0.10247112065553665,0.03487946093082428,"tensor(0.6187, device='cuda:0')","tensor(0.4980, device='cuda:0')",0.011585175998334307
89,89,0.10065155476331711,0.033178314566612244,"tensor(0.6309, device='cuda:0')","tensor(0.4941, device='cuda:0')",0.011902958998689428
90,90,0.09716299176216125,0.03263205662369728,"tensor(0.6353, device='cuda:0')","tensor(0.5090, device='cuda:0')",0.011125789002107922
91,91,0.09438090026378632,0.03187486156821251,"tensor(0.6226, device='cuda:0')","tensor(0.4995, device='cuda:0')",0.010991941999236587
92,92,0.09234751760959625,0.03093663416802883,"tensor(0.6307, device='cuda:0')","tensor(0.5164, device='cuda:0')",0.011357810006302316
93,93,0.08910999447107315,0.03090289793908596,"tensor(0.6290, device='cuda:0')","tensor(0.4985, device='cuda:0')",0.011824205997982062
94,94,0.08595835417509079,0.02938854694366455,"tensor(0.6238, device='cuda:0')","tensor(0.5029, device='cuda:0')",0.012421414998243563
95,95,0.08296048641204834,0.02913093753159046,"tensor(0.6404, device='cuda:0')","tensor(0.5054, device='cuda:0')",0.014647215997683816
96,96,0.08181532472372055,0.02793111838400364,"tensor(0.6296, device='cuda:0')","tensor(0.5183, device='cuda:0')",0.012336908002907876
97,97,0.07952862977981567,0.02792256325483322,"tensor(0.6277, device='cuda:0')","tensor(0.4922, device='cuda:0')",0.013590486996690743
98,98,0.07759901136159897,0.026449907571077347,"tensor(0.6259, device='cuda:0')","tensor(0.5186, device='cuda:0')",0.01096049600164406
99,99,0.07503367215394974,0.0264023095369339,"tensor(0.6229, device='cuda:0')","tensor(0.4956, device='cuda:0')",0.010724585998104885
100,100,0.07323791086673737,0.025111692026257515,"tensor(0.6105, device='cuda:0')","tensor(0.4932, device='cuda:0')",0.010970851995807607
101,101,0.07154719531536102,0.024863703176379204,"tensor(0.6340, device='cuda:0')","tensor(0.4937, device='cuda:0')",0.011075039001298137
102,102,0.06828967481851578,0.024973154067993164,"tensor(0.6452, device='cuda:0')","tensor(0.5137, device='cuda:0')",0.01289013099449221
103,103,0.06712760031223297,0.02343164011836052,"tensor(0.6347, device='cuda:0')","tensor(0.5049, device='cuda:0')",0.011427776000346057
